"peak_rank","points","year","artist_name","song_title","initial_match","falsetto","gender","register","genre","spoken","pandora_id","preview_url"
14,863,1958,"Doris Day","Everybody Loves A Lover","True",0,"male",6,"Pop",0,9700041,NULL
43,303,1958,"Doris Day","Tunnel of Love","True",NULL,NULL,NULL,NULL,NULL,NULL,NULL
73,80,1958,"Doug Franklin With The Bluenotes","My Lucky Love","False",NULL,NULL,NULL,NULL,NULL,NULL,NULL
15,781,1958,"Duane Eddy","Cannonball","True",0,"#N/A",0,"Pop",0,633604,NULL
28,397,1958,"Duane Eddy","Ramrod","True",0,"#N/A",0,"Pop",0,633608,NULL
6,650,1958,"Duane Eddy","Rebel Rouser","True",0,"#N/A",0,"Pop",0,633602,NULL
7,1363,1958,"Earl Grant","End, The","True",0,"male",5,"Pop",2,1596218,NULL
62,39,1958,"Ed Townsend","For Your Love","True",NULL,NULL,NULL,NULL,NULL,NULL,NULL
59,187,1958,"Ed Townsend","When I Grow Too Old To Dream","False",NULL,NULL,NULL,NULL,NULL,NULL,NULL
35,504,1958,"Eddie Cochran","C'mon Everybody","True",0,"male",7,"Pop",0,8994819,NULL
8,1138,1958,"Eddie Cochran","Summertime Blues","True",0,"male",6,"Pop",0,9846110,NULL
64,73,1958,"Eddie Fontaine","Nothin' Shakin'","True",0,"male",5,"Pop",2,8800680,NULL
26,661,1958,"Eileen Rodgers","Treasure Of Your Love","False",NULL,NULL,NULL,NULL,NULL,NULL,NULL
34,238,1958,"Elvis Presley With The Jordanaires","Don't Ask Me Why","False",NULL,NULL,NULL,NULL,NULL,NULL,NULL
4,509,1958,"Elvis Presley With The Jordanaires","Hard Headed Woman","False",NULL,NULL,NULL,NULL,NULL,NULL,NULL
8,1165,1958,"Elvis Presley","I Got Stung","True",0,"male",5,"Pop",3,6938458,NULL
4,1304,1958,"Elvis Presley","One Night","True",0,"male",7,"Pop",0,12281092,NULL
48,259,1958,"Enoch Light & The Light Brigade","I Wanna Be Happy Cha Cha","True",0,"#N/A",0,"Pop",0,681940,NULL
